pose: (1.31,-0.94,-1.24)	thetad = -1.25	e = -0.01, az = -0.05

pose: (1.32,-0.95,-1.25)	thetad = -1.25	e = -0.01, az = -0.05

pose: (1.33,-0.96,-1.26)	thetad = -1.26	e = -0.01, az = -0.06

pose: (1.33,-0.96,-1.26)	thetad = -1.27	e = -0.01, az = -0.06

pose: (1.34,-0.97,-1.27)	thetad = -1.28	e = -0.00, az = -0.05

pose: (1.35,-0.98,-1.28)	thetad = -1.29	e = -0.00, az = -0.05

pose: (1.35,-0.99,-1.29)	thetad = -1.29	e = -0.01, az = -0.06

pose: (1.36,-0.99,-1.29)	thetad = -1.30	e = -0.01, az = -0.06

pose: (1.37,-1.00,-1.30)	thetad = -1.31	e = -0.01, az = -0.07

pose: (1.37,-1.01,-1.31)	thetad = -1.32	e = -0.01, az = -0.07

pose: (1.38,-1.02,-1.31)	thetad = -1.33	e = -0.01, az = -0.07

pose: (1.39,-1.02,-1.32)	thetad = -1.34	e = -0.01, az = -0.07

pose: (1.39,-1.03,-1.33)	thetad = -1.34	e = -0.01, az = -0.07

pose: (1.40,-1.04,-1.34)	thetad = -1.35	e = -0.01, az = -0.08

pose: (1.40,-1.04,-1.35)	thetad = -1.36	e = -0.01, az = -0.07

pose: (1.41,-1.05,-1.36)	thetad = -1.37	e = -0.02, az = -0.08

pose: (1.42,-1.06,-1.37)	thetad = -1.38	e = -0.02, az = -0.09

pose: (1.42,-1.07,-1.38)	thetad = -1.39	e = -0.02, az = -0.09

pose: (1.43,-1.08,-1.38)	thetad = -1.40	e = -0.02, az = -0.09

pose: (1.44,-1.09,-1.40)	thetad = -1.42	e = -0.02, az = -0.09

pose: (1.44,-1.09,-1.40)	thetad = -1.42	e = -0.02, az = -0.10

pose: (1.44,-1.10,-1.42)	thetad = -1.43	e = -0.02, az = -0.10

pose: (1.45,-1.11,-1.43)	thetad = -1.45	e = -0.02, az = -0.10

pose: (1.46,-1.12,-1.44)	thetad = -1.46	e = -0.02, az = -0.10

pose: (1.46,-1.12,-1.45)	thetad = -1.47	e = -0.02, az = -0.11

pose: (1.47,-1.13,-1.46)	thetad = -1.48	e = -0.02, az = -0.11

pose: (1.47,-1.14,-1.48)	thetad = -1.50	e = -0.02, az = -0.11

pose: (1.48,-1.15,-1.49)	thetad = -1.51	e = -0.02, az = -0.11

pose: (1.48,-1.16,-1.50)	thetad = -1.53	e = -0.02, az = -0.12

pose: (1.49,-1.17,-1.52)	thetad = -1.54	e = -0.02, az = -0.12

pose: (1.50,-1.17,-1.53)	thetad = -1.56	e = -0.03, az = -0.13

pose: (1.50,-1.18,-1.55)	thetad = -1.57	e = -0.02, az = -0.13

pose: (1.51,-1.19,-1.56)	thetad = -1.59	e = -0.03, az = -0.14

pose: (1.51,-1.20,-1.57)	thetad = -1.60	e = -0.03, az = -0.14

pose: (1.52,-1.21,-1.59)	thetad = -1.62	e = -0.03, az = -0.15

pose: (1.52,-1.22,-1.61)	thetad = -1.64	e = -0.03, az = -0.16

pose: (1.52,-1.22,-1.62)	thetad = -1.66	e = -0.03, az = -0.16

pose: (1.53,-1.23,-1.64)	thetad = -1.68	e = -0.04, az = -0.17

pose: (1.53,-1.24,-1.66)	thetad = -1.70	e = -0.04, az = -0.18

pose: (1.54,-1.25,-1.68)	thetad = -1.72	e = -0.04, az = -0.19

